0   1   2   3   4   5   6   7   8   9   10   11   12 
1   22   22   19   22   22   24   18   17   21   23   19   21
2   18   12   18   19   22   21   17   20   16   17   17   24
3   19   21   17   19   17   19   24   16   18   16   20   24
4   18   24   20   21   21   21   22   19   18   21   23   23
5   23   20   19   18   20   23   22   25   24   19   21   23
6   24   16   15   16   24   21   23   21   20   20   22   19
7   22   22   21   23   18   17   16   19   24   20   20   23
8   23   17   17   17   22   24   23   20   22   19   23   21
9   21   22   21   24   20   23   19   18   23   15   25   21
10   19   19   18   19   26   24   19   17   18   20   21   20
11   20   22   23   20   22   20   20   19   17   19   20   24
12   21   25   21   19   21   19   18   16   22   24   25   24


